Col1,Col2,Col3,Col4,Col5,Col6,Col7
Word16 Word17 Word18 Word7,2627,540.0,,2018-02-01,Word563 Word580 Word581 Word232,NoDoc
Word62 Word63 Word18 Word7,215260T,2450.0,Word1139,2018-06-30,Word560 Word561 Word366 Word562,Doc1
Word16 Word17 Word18 Word7,4530,140.4,Word783 Word784 Word785,2018-04-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,4402,1888.8,Word942 Word784 Word785,2018-03-01,Word567 Word568 Word569 Word570,Doc1
Word254 Word255 Word5,3099,133224.0,Word1603 Word278,2018-11-30,Word567 Word650 Word9 Word255,Doc1
Word16 Word17 Word18 Word7,3018,1248.0,Word330 Word99 Word764 Word61,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word48 Word3 Word4 Word5,RD20181678,22820.0,Word1993 Word718 Word877,2018-07-31,Word560 Word561 Word612,Doc1
Word59 Word60 Word61 Word5,757,3185.0,Word780 Word1031 Word784 Word826,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word80 Word3 Word4,P156873,89681.0,Word562 Word1017 Word602 Word1079,2018-10-31,Word567 Word568 Word569 Word295,Doc1
Word160 Word161 Word61 Word45 Word39,1106-1,2860.0,Word338 Word935 Word172 Word1196,2018-10-31,Word567 Word568 Word569 Word570,Doc1
Word44 Word45 Word46,201806-00045,2829197.98,Word845 Word835 Word46,2018-07-31,Word671 Word561 Word160 Word694 Word695 Word160 Word593,Doc1
Word42 Word43 Word5,7407,1885.0,Word1488 Word9 Word1489,2017-12-01,Word576 Word366 Word562,Doc3
Word16 Word17 Word18 Word7,MX449,2800.0,Word330 Word99 Word764 Word26,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word33 Word34 Word35 Word7,108644-1267,3684.45,Word562,2018-10-31,Word563 Word366 Word56 Word4,NoDoc
Word116 Word117 Word118 Word119 Word7,154526,576.0,Word51 Word794 Word562,2018-11-30,Word563 Word580 Word581 Word232,NoDoc
Word58 Word3 Word4 Word5,12900,560.0,Word994 Word832 Word84,2018-05-31,Word563 Word580 Word581 Word232,NoDoc
Word177 Word178 Word147 Word7,191MEK,12944.0,Word802 Word706 Word191,2018-04-01,Word563 Word366 Word562,NoDoc
Word160 Word161 Word61 Word45 Word39,1110-1,195.0,Word61,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word47 Word3 Word4 Word39,2018008475,5163.5,Word60 Word99 Word764 Word26,2018-04-30,Word563 Word564 Word9 Word26,NoDoc
Word96 Word3 Word4 Word5,86476,1935.0,Word797 Word190,2018-07-31,Word563 Word132 Word610,NoDoc
Word47 Word3 Word4 Word39,2018014539,680.0,Word202,2018-07-31,Word567 Word650 Word9 Word255,Doc1
Word16 Word17 Word18 Word7,FK1369,720.0,Word819,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word44 Word45 Word46,201806-00045,2829197.98,Word845 Word835 Word46,2018-07-31,Word563 Word580 Word202 Word592,NoDoc
Word16 Word17 Word3 Word7,71718,666.0,Word1314 Word1072 Word1315,2018-08-31,Word563 Word366 Word562,NoDoc
Word106 Word107 Word7,81215-18,3547.0,Word118 Word991,2018-03-01,Word576 Word118 Word708 Word662,Doc3
Word16 Word17 Word18 Word7,3319,427.2,Word785 Word330 Word99 Word764 Word26,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word48 Word3 Word4 Word5,DC20174728,630.0,,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word113 Word114 Word115 Word7,149815,1567.5,Word578 Word791,2018-09-30,Word52 Word330 Word566,NoDoc
Word208 Word209 Word155 Word7,F41962,461.5,Word156 Word798,2018-05-31,Word567 Word568 Word569 Word570,Doc1
Word106 Word107 Word7,86705-1,1994.58,Word13 Word791,2018-12-31,Word563 Word366 Word562,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80R+11,3616.3,Word60 Word99 Word26,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,2288,842.4,,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word273 Word61,493,2665.0,Word564 Word9 Word1516,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word218 Word22 Word4 Word5,11984,17325.0,Word1043 Word190,2018-07-31,Word567 Word582 Word366 Word562,Doc1
Word116 Word117 Word118 Word119 Word7,143549,1400.28,Word51 Word985 Word562,2018-09-30,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,KK950,675.0,Word125 Word966,2018-08-31,Word563 Word580 Word581 Word232,NoDoc
Word113 Word114 Word115 Word7,140774,1330.0,Word578 Word791,2018-01-01,Word560 Word561 Word315 Word577 Word642 Word644,Doc1
Word8 Word9 Word10 Word11 Word5,4.80R+11,7650.0,Word577 Word1376 Word170,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80W+11,55.9,Word929,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,YY105,86940.0,Word190 Word965,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word33 Word34 Word35 Word7,108644-1397,3919.59,Word946,2018-11-30,Word563 Word366 Word56 Word4,NoDoc
Word144 Word145 Word146 Word147 Word7,125278,3458.0,Word1617 Word562,2018-04-01,Word567 Word569 Word570,Doc1
Word6 Word7,10237,2080.0,Word711 Word1157,2018-01-01,Word576 Word366 Word562,Doc3
Word16 Word17 Word18 Word7,FB103,6300.0,Word330 Word99 Word764 Word26,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,3991,1080.0,Word794 Word966,2018-04-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,DY1140,2520.0,Word61,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80H+11,111.8,Word61,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,674240,1057.5,Word797 Word809,2018-09-30,Word560 Word561 Word366 Word562,Doc1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,66206,420.0,Word899 Word805 Word605,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word33 Word34 Word35 Word7,108644-642XT,-903.84,Word100 Word1506 Word45 Word883 Word45 Word909,2018-05-31,Word563 Word366 Word56 Word4,NoDoc
Word38 Word4 Word39,41490595,3750.0,Word1021 Word1386 Word659,2018-05-31,Word563 Word121 Word579,NoDoc
Word96 Word3 Word4 Word5,77661,801.25,Word1859 Word636 Word190,2018-06-30,Word567 Word582 Word580 Word202 Word545,Doc1
Word19 Word20 Word21 Word22 Word23 Word5,15799,170.52,Word633 Word575,2018-07-31,Word563 Word575,NoDoc
Word16 Word17 Word18 Word7,3230,1158.0,Word1053 Word330 Word99 Word764 Word780,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80Z+11,11352.0,Word569 Word26,2018-01-01,Word567 Word568 Word569 Word570,Doc1
Word16 Word17 Word18 Word7,6996,1034.4,Word924 Word784 Word785,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word44 Word45 Word46,201805-00053-RD0,2570126.23,Word834 Word835 Word46,2018-06-30,Word560 Word561 Word740 Word741,Doc1
Word378 Word147 Word5,7709,4600.0,Word562,2017-12-01,Word563 Word580 Word581 Word232,NoDoc
Word38 Word4 Word39,41467856,6575.0,Word1021 Word1131 Word659,2017-12-01,Word563 Word121 Word579,NoDoc
Word16 Word17 Word18 Word7,VD1845,1080.0,Word819 Word785,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word106 Word107 Word7,82325-1,625.0,Word969 Word791 Word967 Word847,2018-01-01,Word567 Word568 Word569 Word570,Doc1
Word73 Word4 Word5,1901,4270.0,Word653 Word53,2018-07-31,Word563 Word366 Word562,NoDoc
Word30 Word31,676897,48.0,Word26 Word569,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word42 Word43 Word5,8152,725.0,Word562,2018-08-31,Word560 Word611 Word603 Word604 Word605 Word606,Doc1
Word74 Word75 Word44 Word5,LCO00128,269111.58,Word840 Word841 Word842 Word843,2016-10-01,Word563 Word600 Word601 Word602,NoDoc
Word33 Word34 Word35 Word7,108644-1309,1911.24,Word562 Word1086 Word808 Word1086 Word882 Word808,2018-10-31,Word563 Word366 Word56 Word4,NoDoc
Word33 Word34 Word35 Word7,108644-1218,7733.41,Word562,2018-09-30,Word563 Word366 Word56 Word4,NoDoc
Word38 Word4 Word39,41498419,2500.0,Word1484 Word985,2018-06-30,Word563 Word366 Word562,NoDoc
Word78 Word79 Word11 Word5,G033118-17,120.0,Word330 Word99 Word780 Word745 Word1712 Word835,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80O+11,4536.0,Word61,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word96 Word3 Word4 Word5,78641,527.5,Word305 Word132 Word190,2018-06-30,Word563 Word608 Word609,NoDoc
Word16 Word17 Word18 Word7,6947,230.4,Word783 Word784 Word785,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word186 Word4 Word5,10075,47500.0,Word580 Word1260 Word791,2018-07-31,Word52 Word330 Word566,NoDoc
Word160 Word161 Word61 Word45 Word39,785-1,48.0,,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word179 Word180 Word181 Word182,EPLPVBB010818,12896.27,Word979 Word1005 Word909 Word45 Word831 Word830,2018-01-01,Word571 Word52 Word646 Word633 Word579,NoDoc
Word257 Word258 Word259 Word5,180403-12182,23400.0,Word259 Word1110 Word1111,2018-05-31,Word567 Word582 Word580 Word202 Word545,Doc1
Word16 Word17 Word18 Word7,3865,916.8,Word1124 Word784 Word785,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,QI961,90.0,Word783 Word784 Word785,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word381 Word3 Word4,BMS366197,22595.0,Word1449 Word4,2018-08-31,Word560 Word561 Word366 Word562,Doc1
Word16 Word17 Word18 Word7,3534,1383.0,Word61,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word62 Word63 Word18 Word7,216694V,1500.0,Word259 Word791,2018-08-31,Word576 Word202 Word545,Doc3
Word346 Word5,120-10466,1944.0,Word1305 Word99 Word592,2018-06-30,Word576 Word366 Word562,Doc3
Word8 Word9 Word10 Word11 Word5,4.80V+11,51.6,Word783 Word784 Word568 Word650,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word116 Word117 Word118 Word119 Word7,155119,705.0,Word51 Word791,2018-10-31,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,2650,456.3,,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word80 Word3 Word4,U134738,19654.0,Word1079 Word1080,2018-07-31,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,MU1638,1080.0,Word61,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word192 Word193 Word194,1809462,23870.22,Word1045 Word835 Word619 Word991,2018-10-31,Word560 Word611 Word603 Word604 Word605 Word606,Doc1
Word80 Word3 Word4,X106801,11625.0,Word562,2018-04-30,Word567 Word569 Word295,Doc1
Word62 Word63 Word18 Word7,212192S,240.0,Word60 Word99 Word764 Word61,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word76 Word77 Word5,52031699,4205.0,Word1261 Word908,2018-10-31,Word52 Word330 Word566,NoDoc
Word40 Word41 Word4 Word5,2114,1860.0,Word802 Word278 Word1242 Word803,2018-08-31,Word567 Word582 Word366 Word562,Doc1
Word48 Word3 Word4 Word5,SW20180982,88.0,Word1028 Word9,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word33 Word34 Word35 Word7,108644-643,4763.64,Word571 Word1739 Word909 Word778 Word45 Word695,2018-03-01,Word563 Word366 Word56 Word4,NoDoc
Word48 Word3 Word4 Word5,EK20181984,198.0,Word1117 Word2073 Word877,2018-07-31,Word567 Word568 Word569 Word570,Doc1
Word116 Word117 Word118 Word119 Word7,154245,808.68,Word562 Word1406 Word84,2018-10-31,Word563 Word580 Word581 Word232,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80B+11,335.4,Word2047 Word978 Word924 Word568,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word101 Word102 Word103 Word7,111086,21848.81,Word1130 Word931 Word562 Word2046,2018-03-01,Word576 Word366 Word562,Doc3
Word257 Word258 Word259 Word5,180703-12801,23400.0,Word1347 Word856,2018-07-31,Word567 Word582 Word580 Word202 Word545,Doc1
Word58 Word3 Word4 Word5,12981,345.0,Word562,2018-05-31,Word563 Word580 Word581 Word232,NoDoc
Word48 Word3 Word4 Word5,MB20183391,1230.0,Word954 Word454,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,664517,6545.0,Word797 Word190,2018-07-31,Word560 Word561 Word366 Word562,Doc1
Word16 Word17 Word18 Word7,EA2004,900.0,Word338 Word959 Word784 Word165 Word948,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word3 Word7,70998,480.0,Word848 Word849 Word964,2018-07-31,Word563 Word366 Word562,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80V+11,51.6,Word783 Word784 Word568 Word650,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,2472,180.0,Word132 Word610,2018-02-01,Word563 Word132 Word610,NoDoc
Word328 Word329 Word330 Word331 Word331 Word193,745428,487.5,Word744 Word1728,2018-07-31,Word560 Word746 Word747 Word571 Word571,Doc1
Word16 Word17 Word18 Word7,3138,899.4,Word924 Word784 Word785,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,2259,927.0,Word992 Word784 Word785,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,66180,315.0,Word899 Word805 Word605,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word1 Word2 Word3 Word4 Word5,44912125,4550.0,Word771 Word772,2018-08-31,Word560 Word561 Word366 Word562,Doc1
Word54 Word3 Word4,JYN52412,2325.0,,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,678836,22.0,Word61,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65975,262.52,Word899 Word805 Word605,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word33 Word34 Word35 Word7,108644-1203,3993.2,Word562,2018-09-30,Word563 Word366 Word56 Word4,NoDoc
Word38 Word4 Word39,41513549,18500.0,Word1021 Word1022 Word659,2018-07-31,Word563 Word121 Word579,NoDoc
Word16 Word17 Word3 Word7,70670,680.0,Word2002 Word2003 Word1170,2018-06-30,Word288 Word626 Word627,NoDoc
Word137 Word138 Word7,VPYU4813,1680.0,Word1712 Word835 Word905 Word791,2018-04-01,Word563 Word359,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80C+11,600.0,Word132 Word878 Word9,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word58 Word3 Word4 Word5,12911,340.0,Word1534 Word1535,2018-04-30,Word563 Word366 Word562,NoDoc
Word38 Word4 Word39,41512646,22000.0,Word1021 Word1022 Word659,2018-07-31,Word563 Word121 Word579,NoDoc
Word42 Word43 Word5,7987,36000.0,Word773 Word774,2018-05-31,Word563 Word580 Word581 Word232,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65140,275.0,,2018-01-01,Word563 Word580 Word581 Word232,NoDoc
Word42 Word43 Word5,7456,290.0,,2018-02-01,Word560 Word611 Word603 Word604 Word605 Word606,Doc1
Word96 Word3 Word4 Word5,65170,2500.0,Word1587 Word797 Word190,2018-02-01,Word567 Word582 Word580 Word202 Word545,Doc1
Word156 Word157 Word7,1553789,476.16,Word575,2017-12-01,Word563 Word608 Word609,NoDoc
Word6 Word7,10661,645.0,Word1080 Word806 Word202 Word1126,2018-08-31,Word560 Word561 Word580 Word202 Word545,Doc1
Word6 Word7,10321,470.0,Word806 Word1080 Word780 Word856,2018-02-01,Word560 Word561 Word580 Word202 Word545,Doc1
Word41 Word125 Word34 Word5,4312,9560.0,Word569 Word888 Word889,2018-02-01,Word567 Word582 Word580 Word202 Word545,Doc1
Word30 Word31,651643,182.0,Word60 Word99 Word26,2018-04-01,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,659977,340.0,Word797 Word190,2018-05-31,Word563 Word132 Word610,NoDoc
Word16 Word17 Word18 Word7,4624,1417.2,Word338 Word779 Word258 Word26,2018-04-30,Word563 Word564 Word9 Word26,NoDoc
Word240 Word200 Word3 Word4 Word5,Z18469,59500.0,Word278 Word772 Word888,2018-10-31,Word567 Word582 Word583 Word584 Word585 Word586,Doc1
Word16 Word17 Word18 Word7,XS1101,2520.0,Word884 Word784 Word785,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word80 Word3 Word4,A139774,13420.0,Word592 Word856 Word562,2018-09-30,Word563 Word645 Word562,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,18560,318.08,Word633 Word575,2018-10-31,Word563 Word575,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80N+11,103.2,Word1028,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,GV610,2520.0,Word785 Word9,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80C+11,107.5,Word564 Word9 Word26,2017-12-01,Word563 Word564 Word9 Word26,NoDoc
Word38 Word4 Word39,41503665,4100.0,Word1171 Word1107 Word794 Word659 Word1295,2018-07-31,Word563 Word121 Word579,NoDoc
Word308 Word309 Word310,2018AKTXFBZNBJPGIL,2760671.27,Word835 Word682 Word683 Word684,2018-10-31,Word563 Word682 Word683 Word684,NoDoc
Word16 Word17 Word18 Word7,TX129,921.6,Word924 Word784 Word785,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word356 Word13,J3071,19043.0,Word846 Word791 Word45 Word694 Word45 Word778,2018-01-01,Word565 Word566,NoDoc
Word113 Word114 Word115 Word7,143585,750.0,Word1144 Word791,2018-05-31,Word565 Word566,NoDoc
Word44 Word45 Word46,201811-00046,8799523.59,Word807 Word808 Word46,2018-12-31,Word560 Word561 Word82,Doc1
Word68 Word531,HBFJVYU083018,390.6,Word613 Word781 Word2027,2018-08-31,Word571 Word52 Word594 Word641,NoDoc
Word54 Word3 Word4,UTC53326,150.0,Word9 Word780,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word179 Word180 Word181 Word182,GTDUV080118-JBJ,-44473.31,Word979 Word836 Word980 Word45 Word981 Word808,2018-08-31,Word571 Word52 Word594 Word641,NoDoc
Word16 Word17 Word18 Word7,BT1583,720.0,Word885 Word784,2018-10-31,Word567 Word568 Word569 Word570,Doc1
Word16 Word17 Word18 Word7,HE1112,1080.0,Word959 Word784 Word785,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word318,4393832,2254.8,Word1255 Word65,2018-06-30,Word613 Word99 Word614 Word98 Word338 Word678,Doc2
Word19 Word20 Word21 Word22 Word23 Word5,20131,275.46,Word1670 Word1671 Word868,2018-11-30,Word563 Word575,NoDoc
Word162 Word7,JMIX18DDU18,6824.0,Word582 Word943,2018-08-31,Word567 Word582 Word107,Doc1
Word16 Word17 Word18 Word7,TA1562,270.0,Word61,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80D+11,60.0,Word61,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,2672,152.1,Word785 Word330 Word99 Word764 Word61,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word33 Word34 Word35 Word7,108644-637,8384.39,Word1026 Word883 Word1027 Word562,2018-03-01,Word563 Word366 Word56 Word4,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,70263,945.0,Word562,2018-04-30,Word563 Word366 Word562,NoDoc
Word16 Word17 Word3 Word7,71276,2133.0,Word800 Word1426 Word797 Word1427,2018-10-31,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,DZ1733,630.0,Word1379 Word785,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word215 Word3 Word4 Word39,92625846,5000.0,Word444 Word56,2018-03-01,Word567 Word582 Word580 Word202 Word545,Doc1
Word286 Word287 Word288 Word39,51418061069,405.0,Word132 Word878 Word1323,2018-08-31,Word560 Word561 Word612,Doc1
Word269 Word270 Word44 Word39,20911,4995.53,Word1133 Word1134 Word1135,2018-01-01,Word571 Word52 Word657 Word661 Word662 Word663 Word664,NoDoc
Word42 Word43 Word5,8001,1490.0,Word1119 Word1120 Word806,2018-05-31,Word563 Word580 Word581 Word232,NoDoc
Word48 Word3 Word4 Word5,HV20183812,870.0,Word798 Word799 Word132 Word878 Word642,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,671341,361.25,Word330 Word99 Word26,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80P+11,670.8,Word779 Word258 Word780,2017-12-01,Word567 Word568 Word569 Word570,Doc1
Word27 Word28 Word29 Word5,1157514,11259.36,Word1096 Word1985 Word706,2018-11-30,Word576 Word130 Word577 Word578,Doc3
Word179 Word180 Word181 Word182,OBWEW09282018,48705.93,Word979 Word836 Word694 Word45 Word911 Word808,2018-10-31,Word571 Word52 Word594 Word595 Word596 Word597,NoDoc
Word131 Word132 Word133 Word5,R21804001,75225.18,Word1061 Word61 Word1046,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word223 Word60 Word65 Word4 Word7,3118,4246.0,Word65 Word791,2018-05-31,Word560 Word561 Word593 Word578 Word65,Doc1
Word131 Word132 Word133 Word5,M21807003,161147.43,Word1058 Word835 Word61 Word1046,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80M+11,175.0,Word132 Word1183 Word9,2018-09-30,Word567 Word568 Word569 Word570,Doc1
Word273 Word61,479,1535.0,Word826 Word780,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,646196,42.0,Word826 Word780,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word41 Word125 Word34 Word5,52,137080.0,Word592 Word295,2017-12-01,Word567 Word582 Word580 Word202 Word545,Doc1
Word33 Word34 Word35 Word7,108644-829,3715.14,Word562,2018-05-31,Word563 Word366 Word56 Word4,NoDoc
Word16 Word17 Word18 Word7,4612,1152.0,Word992 Word784 Word785,2018-04-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,VO348,360.0,Word1300 Word784 Word785,2018-06-30,Word563 Word132 Word610,NoDoc
Word58 Word3 Word4 Word5,13277,2110.0,Word516 Word791,2018-08-31,Word567 Word582 Word366 Word562,Doc1
Word166 Word5,1529,340.0,Word785 Word1031 Word784 Word165 Word779 Word99,2018-11-30,Word563 Word132 Word610,NoDoc
Word16 Word17 Word3 Word7,71529,432.0,Word393 Word798,2018-08-31,Word563 Word366 Word562,NoDoc
Word24 Word22 Word4 Word5,22451,1062.5,Word562 Word26,2018-06-30,Word567 Word568 Word569 Word570,Doc1
Word16 Word17 Word18 Word7,2278,1062.0,,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word179 Word180 Word181 Word182,GBXZE080118-KPG,-44473.31,Word979 Word836 Word980 Word45 Word981 Word808,2018-08-31,Word571 Word52 Word636 Word372 Word575 Word613,NoDoc
Word16 Word17 Word18 Word7,MU477,2800.0,Word338 Word330 Word99 Word26,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word73 Word4 Word5,3378,3977.0,Word762 Word145 Word562,2018-08-31,Word563 Word366 Word562,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80S+11,75.0,Word569,2018-07-31,Word567 Word568 Word569 Word570,Doc1
Word16 Word17 Word18 Word7,4260,1260.0,Word899 Word805 Word810,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word101 Word102 Word103 Word7,113886,2968.0,Word351 Word165 Word1072,2018-10-31,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,TE1661,5040.0,Word1803 Word784 Word764 Word26,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,NW1040,720.0,Word785 Word330 Word99 Word780,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,YD1915,5040.0,Word1235 Word785,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word108 Word109 Word45 Word5,1155,36710.5,Word26 Word745,2018-04-01,Word563 Word564 Word9 Word26,NoDoc
Word38 Word4 Word39,41474396,3500.0,Word1021 Word121 Word659,2018-01-01,Word563 Word121 Word579,NoDoc
Word42 Word43 Word5,8353,568.5,Word931 Word876 Word2000,2018-09-30,Word560 Word561 Word366 Word562,Doc1
Word111 Word112 Word91 Word107 Word7,27076,5902.0,Word777 Word883 Word967 Word883 Word909,2018-06-30,Word567 Word582 Word107,Doc1
Word42 Word43 Word5,8013,870.0,Word804 Word805 Word806,2018-05-31,Word563 Word580 Word581 Word232,NoDoc
Word162 Word7,ENL10LVA18,8932.0,Word13 Word967 Word883 Word967 Word1062,2018-11-30,Word567 Word582 Word107,Doc1
Word96 Word3 Word4 Word5,92688,632.5,Word305 Word132 Word190 Word1193,2018-10-31,Word563 Word608 Word609,NoDoc
Word16 Word17 Word18 Word7,YB1144,2520.0,Word1189 Word784 Word785,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word38 Word4 Word39,41481892,3500.0,Word121 Word791,2018-02-01,Word563 Word121 Word579,NoDoc
Word59 Word60 Word61 Word5,1109,49.5,Word1192 Word784 Word826,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,HO1410,5040.0,Word1497 Word784,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word106 Word107 Word7,84875-1,1025.42,Word949 Word791,2018-09-30,Word563 Word366 Word562,NoDoc
Word96 Word3 Word4 Word5,85722,90.0,Word1498 Word825,2018-07-31,Word563 Word580 Word581 Word232,NoDoc
Word38 Word4 Word39,41525622,24500.0,Word121 Word836,2018-10-31,Word563 Word121 Word579,NoDoc
Word16 Word17 Word18 Word7,HF1303,2520.0,Word1545 Word784 Word785,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word83 Word84 Word44 Word7,41618-3-1,1915.35,Word850 Word827,2018-05-31,Word563 Word366 Word562,NoDoc
Word116 Word117 Word118 Word119 Word7,148679,562.43,Word51 Word794,2018-04-01,Word563 Word580 Word581 Word232,NoDoc
Word42 Word43 Word5,8151,3840.0,Word1327 Word190,2018-07-31,Word560 Word611 Word603 Word604 Word605 Word606,Doc1
Word196 Word197 Word198 Word4 Word7,401K082418KORSCOI,125517.38,Word640 Word1002,2018-08-31,Word571 Word52 Word639 Word640 Word579,NoDoc
Word16 Word17 Word18 Word7,4030,152.1,Word1031 Word784 Word785,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,TS1112,1080.0,Word959 Word784 Word785,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word144 Word145 Word146 Word147 Word7,124695,1155.0,Word516 Word1787 Word1090,2018-02-01,Word588 Word568 Word451 Word545,Doc1
Word54 Word98 Word4 Word7,18988,700.0,Word593 Word860,2018-09-30,Word560 Word561 Word366 Word562,Doc1
Word16 Word17 Word3 Word7,70602,105.0,Word987 Word799 Word278,2018-05-31,Word563 Word366 Word562,NoDoc
